epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,475.647,0.77107,0.53989,0.96689,0.93405,0.71484,0.86199,0.62866,0.91837,0.68601,1.08869,0.000557,0.000557,0.000557
86,481.214,0.79207,0.5788,0.9819,0.84041,0.73377,0.83872,0.60175,0.94075,0.74648,1.0951,0.00054875,0.00054875,0.00054875
87,486.745,0.75666,0.53225,0.96476,0.79442,0.84176,0.84263,0.6169,0.91679,0.71838,1.09468,0.0005405,0.0005405,0.0005405
88,492.252,0.77728,0.54578,0.97452,0.83514,0.77004,0.82521,0.59918,0.89638,0.76401,1.07506,0.00053225,0.00053225,0.00053225
89,497.722,0.75639,0.51926,0.96762,0.845,0.736,0.83306,0.60546,0.87883,0.76163,1.0931,0.000524,0.000524,0.000524
90,503.214,0.77052,0.53611,0.97325,0.85336,0.78538,0.82134,0.60614,0.92687,0.82279,1.09401,0.00051575,0.00051575,0.00051575
91,508.675,0.77973,0.56193,0.97126,0.88709,0.72266,0.84009,0.60897,0.92926,0.77212,1.10314,0.0005075,0.0005075,0.0005075
92,514.155,0.77882,0.53435,0.96613,0.84873,0.75416,0.84342,0.61512,0.91451,0.75478,1.10449,0.00049925,0.00049925,0.00049925
93,519.63,0.78694,0.53368,0.97569,0.85311,0.79413,0.82673,0.59231,0.92519,0.73268,1.12457,0.000491,0.000491,0.000491
94,525.134,0.7647,0.53203,0.97392,0.84529,0.80623,0.84386,0.60918,0.91917,0.74388,1.10808,0.00048275,0.00048275,0.00048275
95,530.614,0.75572,0.52617,0.95726,0.83728,0.76931,0.81677,0.57729,0.95504,0.74765,1.12473,0.0004745,0.0004745,0.0004745
96,536.087,0.72865,0.52488,0.95165,0.85474,0.77682,0.85943,0.63159,0.91227,0.73004,1.09578,0.00046625,0.00046625,0.00046625
97,541.545,0.73563,0.52541,0.96704,0.89123,0.77096,0.84963,0.60583,0.91244,0.6935,1.09378,0.000458,0.000458,0.000458
98,547.047,0.75056,0.53787,0.96217,0.87489,0.74702,0.83324,0.60929,0.92963,0.77382,1.10274,0.00044975,0.00044975,0.00044975
99,552.535,0.74829,0.53635,0.96023,0.79948,0.7868,0.85163,0.65063,0.86969,0.71127,1.08114,0.0004415,0.0004415,0.0004415
100,558.016,0.7506,0.53813,0.95699,0.92567,0.75635,0.85519,0.6195,0.9481,0.72218,1.11491,0.00043325,0.00043325,0.00043325
101,563.487,0.7523,0.52136,0.96236,0.87707,0.77192,0.83649,0.62503,0.90387,0.74722,1.08929,0.000425,0.000425,0.000425
102,568.938,0.71638,0.49181,0.95086,0.82816,0.73409,0.79019,0.55824,0.97656,0.83507,1.12723,0.00041675,0.00041675,0.00041675
103,574.397,0.73228,0.51961,0.94484,0.82027,0.78403,0.82228,0.6055,0.8906,0.75899,1.08322,0.0004085,0.0004085,0.0004085
104,579.907,0.70891,0.51146,0.94286,0.90686,0.67197,0.80681,0.58807,0.89501,0.74845,1.06734,0.00040025,0.00040025,0.00040025
105,585.355,0.69889,0.49557,0.93571,0.92451,0.72348,0.83672,0.61285,0.92196,0.70916,1.09259,0.000392,0.000392,0.000392
106,590.839,0.71828,0.50714,0.95592,0.88687,0.77207,0.85325,0.60944,0.91793,0.66364,1.09772,0.00038375,0.00038375,0.00038375
107,596.33,0.70499,0.4933,0.93777,0.8794,0.75682,0.83761,0.58616,0.95387,0.70748,1.11686,0.0003755,0.0003755,0.0003755
108,601.822,0.694,0.49203,0.93946,0.86326,0.77197,0.83635,0.61383,0.917,0.70125,1.09526,0.00036725,0.00036725,0.00036725
109,607.28,0.70151,0.47427,0.93426,0.83194,0.76622,0.84197,0.61483,0.9099,0.68653,1.09967,0.000359,0.000359,0.000359
